"hill0","hill1","hill2","Nu","M","Jm","Sm","J","timesteps"
43,1.454476151509,1.10561742099258,0.0588287541177124,0.0141428409609944,10000,1000,1000,1000
374,26.3313768378703,3.20514875095362,0.535472962539643,0.0262308256700635,10000,1000,1000,1000
45,1.58285035176193,1.1387783641221,0.0724276390392333,0.00178416562266648,10000,1000,1000,1000
220,9.36788957588754,2.08572322452811,0.106130879139528,0.307846374018118,10000,1000,1000,1000
260,12.3321344936835,2.31359375144602,0.21845801314339,0.287842988222837,10000,1000,1000,1000
193,9.92323353630964,2.20390532022745,0.01012162277475,0.39437700714916,10000,1000,1000,1000
418,36.6704532818366,3.79037699089565,0.536418827343732,0.276511287409812,10000,1000,1000,1000
346,24.9241498744343,3.18167356029278,0.281978240562603,0.41586680598557,10000,1000,1000,1000
395,40.4676826889759,4.21727395411605,0.339088896056637,0.574280659016222,10000,1000,1000,1000
416,42.6433449365199,4.23710859709333,0.400312394835055,0.572483307402581,10000,1000,1000,1000
358,24.9057859115794,3.13743207459566,0.500946221407503,0.0797093741130084,10000,1000,1000,1000
203,11.009303542583,2.29842787533328,0.00966995037160814,0.387551509402692,10000,1000,1000,1000
104,2.76050514939668,1.33919364472264,0.156499952170998,0.0274223266169429,10000,1000,1000,1000
274,14.0257917341453,2.44539434429199,0.239411962637678,0.234887741552666,10000,1000,1000,1000
337,18.5047433733297,2.69238432170767,0.492612922657281,0.070471819024533,10000,1000,1000,1000
286,16.9828853583903,2.69110911371017,0.250613886024803,0.365953058470041,10000,1000,1000,1000
425,35.5396861120187,3.68973736449453,0.514820821909234,0.198447837587446,10000,1000,1000,1000
388,36.4879357992965,3.92415395240798,0.391566385142505,0.521546361129731,10000,1000,1000,1000
453,45.3939072551121,4.23926406375852,0.575915450882167,0.173539934121072,10000,1000,1000,1000
492,58.0418222083744,4.89931899465973,0.581236569955945,0.466647937009111,10000,1000,1000,1000
463,45.3507699337145,4.18816591838101,0.578936075186357,0.345701993023977,10000,1000,1000,1000
243,14.3967032345801,2.57871528404552,0.0916271906811744,0.410003541084006,10000,1000,1000,1000
